www.246.ne.jp 220.219.176.44 - - [25/Feb/2006:00:01:56 +0900] "GET /~akichi/ HTTP/1.1" 200 2524 "http://search.nifty.com/cgi-bin/search.cgi?select=2&cflg=%8C%9F%8D%F5&Text=akichi" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:00:04:26 +0900] "GET /~akichi/www/download/h8k201.lzh HTTP/1.0" 200 32702 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:00:25:42 +0900] "GET /~akichi/www/download/rtmk007a.lzh HTTP/1.0" 200 21309 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:00:52:44 +0900] "GET /~akichi/www/download/rtmk006c.lzh HTTP/1.0" 200 19907 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:01:11:22 +0900] "GET /~akichi/www/download/sh4k201.lzh HTTP/1.0" 200 25221 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:01:18:59 +0900] "GET /~akichi/www/download/ex001.lzh HTTP/1.0" 200 3299 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:01:20:30 +0900] "GET /~akichi/www/download/srtmk07a.lzh HTTP/1.0" 200 16712 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.49 - - [25/Feb/2006:02:09:13 +0900] "GET /~akichi/www/download/snrtm62b.lzh HTTP/1.0" 200 29316 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.50 - - [25/Feb/2006:03:43:51 +0900] "GET /~akichi/www/download/pl002.lzh HTTP/1.0" 200 6515 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 68.142.251.175 - - [25/Feb/2006:03:54:31 +0900] "GET /~akichi/www/rsmid.html HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:03:57:45 +0900] "GET /~akichi/www/download/nrtm061.lzh HTTP/1.0" 200 19661 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.50 - - [25/Feb/2006:04:06:36 +0900] "GET /~akichi/www/download/nrtm062b.lzh HTTP/1.0" 200 20811 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:04:18:11 +0900] "GET /~akichi/www/download/nrtm2010.lzh HTTP/1.0" 200 50019 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 72.30.110.231 - - [25/Feb/2006:04:18:43 +0900] "GET /~akichi/www/rtmk.html HTTP/1.0" 200 2333 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
www.246.ne.jp 202.160.180.129 - - [25/Feb/2006:04:23:28 +0900] "GET /~akichi/www/debuger.html HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp China; http://misc.yahoo.com.cn/help.html)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:06:06:34 +0900] "GET /~akichi/www/download/h8k201.lzh HTTP/1.0" 200 32702 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:06:08:34 +0900] "GET /~akichi/www/download/rtmk007a.lzh HTTP/1.0" 200 21309 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.49 - - [25/Feb/2006:06:11:09 +0900] "GET /~akichi/www/download/nrtm3003.lzh HTTP/1.0" 200 9649 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:06:12:34 +0900] "GET /~akichi/www/download/sh4k201.lzh HTTP/1.0" 200 25221 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 66.249.66.225 - - [25/Feb/2006:06:22:38 +0900] "GET /~akichi/www/3048.html HTTP/1.1" 200 949 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:06:50:16 +0900] "GET /~akichi/www/download/ex001.lzh HTTP/1.0" 200 3299 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:06:51:17 +0900] "GET /~akichi/www/download/srtmk07a.lzh HTTP/1.0" 200 16712 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:07:09:20 +0900] "GET /~akichi/www/download/rtmk006c.lzh HTTP/1.0" 200 19907 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.50 - - [25/Feb/2006:07:43:09 +0900] "GET /~akichi/www/download/nrtm2011.lzh HTTP/1.0" 200 50901 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.49 - - [25/Feb/2006:07:55:37 +0900] "GET /~akichi/www/download/snrtm62b.lzh HTTP/1.0" 200 29316 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.49 - - [25/Feb/2006:08:03:05 +0900] "GET /~akichi/www/download/nrtm3003.lzh HTTP/1.0" 200 9649 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:10:24:15 +0900] "GET /~akichi/www/download/nrtm2010.lzh HTTP/1.0" 200 50019 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:11:12:44 +0900] "GET /~akichi/www/download/sh4k201.lzh HTTP/1.0" 200 25221 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:12:37:37 +0900] "GET /~akichi/www/download/h8k201.lzh HTTP/1.0" 200 32702 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:12:38:45 +0900] "GET /~akichi/www/download/rtmk007a.lzh HTTP/1.0" 200 21309 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 220.157.196.117 - - [25/Feb/2006:12:49:41 +0900] "GET /~akichi/www/kernel.html HTTP/1.1" 200 16789 "http://www.google.co.jp/search?q=task+H8+%E3%82%AD%E3%83%A5%E3%83%BC&hl=ja&lr=&start=10&sa=N" "Mozilla/5.0 (Windows; U; Windows NT 5.1; ja; rv:1.8.0.1) Gecko/20060111 Firefox/1.5.0.1"
www.246.ne.jp 68.142.251.204 - - [25/Feb/2006:13:05:16 +0900] "GET /~akichi/www/debuger2.html HTTP/1.0" 304 - "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:13:06:50 +0900] "GET /~akichi/www/download/srtmk07a.lzh HTTP/1.0" 200 16712 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:13:17:54 +0900] "GET /~akichi/www/download/rtmk006c.lzh HTTP/1.0" 200 19907 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.50 - - [25/Feb/2006:14:04:55 +0900] "GET /~akichi/www/download/pl002.lzh HTTP/1.0" 200 6515 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.50 - - [25/Feb/2006:15:09:03 +0900] "GET /~akichi/www/download/nrtm2011.lzh HTTP/1.0" 200 50901 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
www.246.ne.jp 207.46.98.48 - - [25/Feb/2006:16:01:09 +0900] "GET /~akichi/www/download/nrtm2010.lzh HTTP/1.0" 200 50019 "-" "msnbot/1.0 (+http://search.msn.com/msnbot.htm)"
